CAGR | ADANIENT | 2024-09 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2017-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2018-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2019-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2020-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2020-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2020-03 | pat_cagr_3yr | BOTH_NEGATIVE
CAGR | ADANIGREEN | 2020-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2020-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2020-03 | eps_cagr_3yr | ZERO_BASE
CAGR | ADANIGREEN | 2020-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2020-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2021-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2021-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2021-03 | pat_cagr_3yr | TURNAROUND
CAGR | ADANIGREEN | 2021-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2021-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2021-03 | eps_cagr_3yr | TURNAROUND
CAGR | ADANIGREEN | 2021-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2021-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2022-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2022-03 | pat_cagr_3yr | TURNAROUND
CAGR | ADANIGREEN | 2022-03 | pat_cagr_5yr | TURNAROUND
CAGR | ADANIGREEN | 2022-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2022-03 | eps_cagr_3yr | TURNAROUND
CAGR | ADANIGREEN | 2022-03 | eps_cagr_5yr | ZERO_BASE
CAGR | ADANIGREEN | 2022-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2023-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2023-03 | pat_cagr_3yr | TURNAROUND
CAGR | ADANIGREEN | 2023-03 | pat_cagr_5yr | TURNAROUND
CAGR | ADANIGREEN | 2023-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2023-03 | eps_cagr_3yr | ZERO_BASE
CAGR | ADANIGREEN | 2023-03 | eps_cagr_5yr | TURNAROUND
CAGR | ADANIGREEN | 2023-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-03 | pat_cagr_5yr | TURNAROUND
CAGR | ADANIGREEN | 2024-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-03 | eps_cagr_5yr | TURNAROUND
CAGR | ADANIGREEN | 2024-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIGREEN | 2024-09 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2013-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | pat_cagr_5yr | INSUFFICIENT
