company_id,from_year,from_pattern,to_year,to_pattern
TORNTPHARM,2022,Reinvestor,2023,Shareholder Returns
TORNTPHARM,2023,Shareholder Returns,2024,Reinvestor
TRENT,2013,Shareholder Returns,2014,Mixed
TRENT,2015,Mixed,2016,Reinvestor
TRENT,2018,Reinvestor,2019,Shareholder Returns
TRENT,2020,Shareholder Returns,2021,Liquidating Assets
TRENT,2022,Liquidating Assets,2023,Reinvestor
TVSMOTOR,2014,Reinvestor,2015,Shareholder Returns
TVSMOTOR,2015,Shareholder Returns,2016,Reinvestor
TVSMOTOR,2017,Reinvestor,2018,Shareholder Returns
TVSMOTOR,2018,Shareholder Returns,2019,Mixed
TVSMOTOR,2019,Mixed,2020,Shareholder Returns
TVSMOTOR,2021,Shareholder Returns,2022,Mixed
